kind,alpha,frequency_MHz,area_m2,dipoles_per_tile,before_n,after_n,before_rate_as_printed,after_rate_per_year,ratio_after_removing_normalization
dish,-1.0,400.0,19.300000000000004,,844,843,101.83027865246149,49257.45278230515,0.9988151658767771
dish,-1.0,400.0,19.400000000000002,,842,841,101.58897467461205,49140.59049812412,0.998812351543943
dish,-1.0,400.0,19.500000000000004,,839,838,101.2270187078379,48965.29707185257,0.99880810488677
dish,-1.0,400.0,19.6,,836,835,100.86506274106374,48790.00364558102,0.9988038277511961
dish,-1.0,400.0,19.700000000000003,,834,833,100.62375876321431,48673.14136139999,0.9988009592326139
dish,-1.0,400.0,19.800000000000004,,831,830,100.26180279644016,48497.84793512844,0.9987966305655834
dish,-1.0,400.0,19.900000000000002,,829,828,100.02049881859074,48380.985650947405,0.9987937273823881
dish,-1.0,400.0,20.000000000000004,,826,825,99.65854285181658,48205.692224675855,0.9987893462469732
dish,-1.0,400.0,20.1,,824,823,99.41723887396712,48088.82994049482,0.9987864077669902
dish,-1.0,400.0,20.200000000000003,,821,820,99.05528290719299,47913.53651422328,0.9987819732034103
dish,-1.0,400.0,20.300000000000004,,819,818,98.81397892934353,47796.67423004224,0.9987789987789988
dish,-1.0,400.0,20.400000000000002,,816,815,98.4520229625694,47621.38080377069,0.9987745098039214
dish,-1.0,400.0,20.500000000000004,,814,813,98.21071898471996,47504.51851958966,0.9987714987714987
dish,-1.0,400.0,20.6,,811,810,97.84876301794581,47329.22509331811,0.9987669543773119
dish,-1.0,400.0,20.700000000000003,,809,808,97.60745904009637,47212.36280913708,0.9987639060568602
dish,-1.0,400.0,20.800000000000004,,806,805,97.24550307332223,47037.069382865535,0.998759305210918
dish,-1.0,400.0,20.900000000000002,,804,803,97.0041990954728,46920.20709868451,0.9987562189054725
dish,-1.0,400.0,21.000000000000004,,802,801,96.76289511762336,46803.34481450347,0.9987531172069825
dish,-1.0,400.0,21.1,,799,798,96.40093915084921,46628.051388231914,0.9987484355444303
dish,-1.0,400.0,21.200000000000003,,797,796,96.15963517299977,46511.189104050885,0.9987452948557087
dish,-1.0,400.0,21.300000000000004,,794,793,95.79767920622561,46335.895677779336,0.9987405541561711
dish,-1.0,400.0,21.400000000000002,,792,791,95.55637522837618,46219.0333935983,0.9987373737373735
dish,-1.0,400.0,21.500000000000004,,790,789,95.31507125052674,46102.17110941727,0.9987341772151898
dish,-1.0,400.0,21.6,,787,786,94.9531152837526,45926.87768314573,0.9987293519695044
dish,-1.0,400.0,21.700000000000003,,785,784,94.71181130590315,45810.015398964686,0.9987261146496813
dish,-1.0,400.0,21.800000000000004,,783,782,94.47050732805373,45693.15311478366,0.998722860791826
dish,-1.0,400.0,21.900000000000002,,780,779,94.10855136127957,45517.859688512115,0.9987179487179487
dish,-1.0,400.0,22.000000000000004,,778,777,93.86724738343014,45400.99740433109,0.9987146529562981
dish,-1.0,400.0,22.1,,776,775,93.62594340558071,45284.135120150044,0.9987113402061852
dish,-1.0,400.0,22.200000000000003,,773,773,93.26398743880655,45167.272835969015,0.9999999999999999
dish,-1.0,400.0,22.300000000000004,,771,770,93.02268346095713,44991.97940969747,0.9987029831387807
dish,-1.0,400.0,22.400000000000002,,769,768,92.78137948310768,44875.11712551644,0.9986996098829648
dish,-1.0,400.0,22.500000000000004,,767,766,92.54007550525823,44758.254841335394,0.998696219035202
dish,-1.0,400.0,22.6,,764,764,92.1781195384841,44641.392557154366,0.9999999999999998
dish,-1.0,400.0,22.700000000000003,,762,761,91.93681556063464,44466.09913088282,0.9986876640419948
dish,-1.0,400.0,22.800000000000004,,760,759,91.69551158278522,44349.23684670179,0.9986842105263157
dish,-1.0,400.0,22.900000000000002,,758,757,91.45420760493579,44232.37456252075,0.9986807387862795
dish,-1.0,400.0,23.000000000000004,,756,755,91.21290362708635,44115.512278339724,0.9986772486772486
dish,-1.0,400.0,23.1,,753,752,90.8509476603122,43940.21885206818,0.99867197875166
dish,-1.0,400.0,23.200000000000003,,751,750,90.60964368246276,43823.35656788714,0.9986684420772302
dish,-1.0,400.0,23.300000000000004,,749,748,90.36833970461333,43706.49428370611,0.9986648865153536
dish,-1.0,400.0,23.400000000000002,,747,746,90.1270357267639,43589.63199952508,0.9986613119143238
dish,-1.0,400.0,23.500000000000004,,745,744,89.88573174891447,43472.769715344046,0.9986577181208052
dish,-1.0,400.0,23.6,,743,742,89.64442777106504,43355.90743116301,0.9986541049798112
dish,-1.0,400.0,23.700000000000003,,741,740,89.40312379321558,43239.04514698198,0.9986504723346828
dish,-1.0,400.0,23.800000000000004,,738,737,89.04116782644145,43063.75172071043,0.9986449864498642
dish,-1.0,400.0,23.900000000000002,,736,735,88.799863848592,42946.889436529396,0.9986413043478259
